,name,label,description,field_type,mandatory,multiplicity,ERC
21,pcr conditions,pcr conditions,Description of reaction conditions and components for PCR in the form of 'initial denaturation:94degC_1.5min; annealing=...',"
                              ",optional,multiple,ERC000020.xml
22,sequencing method,sequencing method,Sequencing machine used. Where possible the term should be taken from the OBI list of DNA sequencers (http://purl.obolibrary.org/obo/OBI_0400103).,"
                              ",mandatory,multiple,ERC000020.xml
23,sequence quality check,sequence quality check,Indicate if the sequence has been called by automatic systems (none) or undergone a manual editing procedure (e.g. by inspecting the raw data or chromatograms). Applied only for sequences that are not submitted to SRA or DRA,"
                              ",optional,multiple,ERC000020.xml
24,chimera check software,chimera check software,"Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.","
                              ",optional,multiple,ERC000020.xml
25,relevant electronic resources,relevant electronic resources,"A related resource that is referenced, cited, or otherwise associated to the sequence in the format of a PMID, DOI or URL","
                              ",optional,multiple,ERC000020.xml
26,relevant standard operating procedures,relevant standard operating procedures,"Standard operating procedures used in assembly and/or annotation of genomes, metagenomes or environmental sequences in the format of a PMID, DOI or URL","
                              ",optional,multiple,ERC000020.xml
27,negative control type,negative control type,The substance or equipment used as a negative control in an investigation,"
                              ",optional,single,ERC000020.xml
28,positive control type,positive control type,"The substance, mixture, product, or apparatus used to verify that a process which is part of an investigation delivers a true positive.","
                              ",optional,single,ERC000020.xml
29,collection date,collection date,"The date of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid ISO8601 compliant times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008.","
                              ",mandatory,multiple,ERC000020.xml
30,altitude,altitude,The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.,"
                              ",optional,multiple,ERC000020.xml
31,geographic location (country and/or sea),geographic location (country and/or sea),The geographical origin of the sample as defined by the country or sea. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html).,"
                              ",mandatory,multiple,ERC000020.xml
32,geographic location (latitude),geographic location (latitude),The geographical origin of the sample as defined by latitude. The values should be reported in decimal degrees and in WGS84 system,"
                              ",mandatory,multiple,ERC000020.xml
33,geographic location (longitude),geographic location (longitude),The geographical origin of the sample as defined by longitude. The values should be reported in decimal degrees and in WGS84 system,"
                              ",mandatory,multiple,ERC000020.xml
34,geographic location (region and locality),geographic location (region and locality),The geographical origin of the sample as defined by the specific region name followed by the locality name.,"
                              ",optional,multiple,ERC000020.xml
35,depth,depth,"The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.","
                              ",optional,multiple,ERC000020.xml
36,broad-scale environmental context,broad-scale environmental context,"Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class: http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.","
                              ",mandatory,multiple,ERC000020.xml
37,local environmental context,local environmental context,"Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for ""broad-scale environmental context"". Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.","
                              ",mandatory,multiple,ERC000020.xml
38,environmental medium,environmental medium,"Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).","
                              ",mandatory,multiple,ERC000020.xml
39,elevation,elevation,The elevation of the sampling site as measured by the vertical distance from mean sea level.,"
                              ",optional,multiple,ERC000020.xml
40,source material identifiers,source material identifiers,"A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain 'UAM:Herps:14' , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2).","
                              ",optional,multiple,ERC000020.xml
41,sample material processing,sample material processing,"A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.","
                              ",optional,multiple,ERC000020.xml
42,isolation and growth condition,isolation and growth condition,"Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material. Mandatory for MIGS and MIMARKS Specimen.","
                              ",optional,multiple,ERC000020.xml
43,propagation,propagation,"The type of reproduction from the parent stock. Values for this field is specific to different taxa. For phage or virus: lytic/lysogenic/temperate/obligately lytic. For plasmids: incompatibility group. For eukaryotes: sexual/asexual. Mandatory for MIGs of eukayotes, plasmids and viruses.","
                              ",optional,multiple,ERC000020.xml
44,amount or size of sample collected,amount or size of sample collected,"The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.","
                              ",optional,multiple,ERC000020.xml
45,host dry mass,host dry mass,measurement of dry mass,"
                              ",optional,multiple,ERC000020.xml
46,oxygenation status of sample,oxygenation status of sample,oxygenation status of sample,"
                              ",optional,multiple,ERC000020.xml
47,plant product,plant product,"substance produced by the plant, where the sample was obtained from","
                              ",optional,multiple,ERC000020.xml
48,organism count,organism count,"Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)","
                              ",optional,multiple,ERC000020.xml
49,sample storage duration,sample storage duration,duration for which sample was stored,"
                              ",optional,multiple,ERC000020.xml
50,sample storage temperature,sample storage temperature,"temperature at which sample was stored, e.g. -80","
                              ",optional,multiple,ERC000020.xml
51,host wet mass,host wet mass,measurement of wet mass,"
                              ",optional,multiple,ERC000020.xml
52,sample storage location,sample storage location,"location at which sample was stored, usually name of a specific freezer/room","
                              ",optional,multiple,ERC000020.xml
53,sample collection device,sample collection device,The device used to collect an environmental sample. It is recommended to use terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO) and/or terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).,"
                              ",optional,single,ERC000020.xml
54,sample collection method,sample collection method,"The method employed for collecting the sample. Can be provided in the form of a PMID, DOI, url or text.","
                              ",optional,single,ERC000020.xml
55,host disease status,host disease status,"list of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text","
                              ",optional,multiple,ERC000020.xml
56,host common name,host common name,"common name of the host, e.g. human","
                              ",optional,multiple,ERC000020.xml
57,host age,host age,"age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees","
                              ",optional,multiple,ERC000020.xml
58,host taxid,host taxid,"NCBI taxon id of the host, e.g. 9606","
                              ",optional,multiple,ERC000020.xml
59,host life stage,host life stage,description of life stage of host,"
                              ",optional,multiple,ERC000020.xml
60,host height,host height,the height of subject,"
                              ",optional,multiple,ERC000020.xml
61,host length,host length,the length of subject,"
                              ",optional,multiple,ERC000020.xml
62,plant body site,plant body site,"name of body site that the sample was obtained from. For Plant Ontology (PO) (v 20) terms, see http://purl.bioontology.org/ontology/PO","
                              ",optional,multiple,ERC000020.xml
63,host total mass,host total mass,"total mass of the host at collection, the unit depends on host","
                              ",optional,multiple,ERC000020.xml
64,host phenotype,host phenotype,"phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO","
                              ",optional,multiple,ERC000020.xml
65,host subspecific genetic lineage,host subspecific genetic lineage,"Information about the genetic distinctness of the host organism below the subspecies level e.g., serovar, serotype, biotype, ecotype, variety, cultivar, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.","
                              ",optional,single,ERC000020.xml
66,climate environment,climate environment,treatment involving an exposure to a particular climate; can include multiple climates,"
                              ",optional,multiple,ERC000020.xml
67,gaseous environment,gaseous environment,"use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens","
                              ",optional,multiple,ERC000020.xml
68,seasonal environment,seasonal environment,"treatment involving an exposure to a particular season (e.g. winter, summer, rabi, rainy etc.)","
                              ",optional,multiple,ERC000020.xml
69,temperature,temperature,temperature of the sample at time of sampling,"
                              ",optional,multiple,ERC000020.xml
70,salinity,salinity,"The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.","
                              ",optional,multiple,ERC000020.xml
71,host genotype,host genotype,observed genotype,"
                              ",optional,multiple,ERC000020.xml
72,subspecific genetic lineage,subspecific genetic lineage,"Information about the genetic distinctness of the sequenced organism below the subspecies level, e.g., serovar, serotype, biotype, ecotype, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.","
                              ",optional,multiple,ERC000020.xml
73,trophic level,trophic level,Trophic levels are the feeding position in a food chain. Microbes can be a range of producers (e.g. chemolithotroph),"
                              ",optional,multiple,ERC000020.xml
74,relationship to oxygen,relationship to oxygen,"Is this organism an aerobe, anaerobe? Please note that aerobic and anaerobic are valid descriptors for microbial environments","
                              ",optional,multiple,ERC000020.xml
75,known pathogenicity,known pathogenicity,"To what is the entity pathogenic, for instance plant, fungi, bacteria","
                              ",optional,multiple,ERC000020.xml
76,encoded traits,encoded traits,"Should include key traits like antibiotic resistance or xenobiotic degradation phenotypes for plasmids, converting genes for phage","
                              ",optional,multiple,ERC000020.xml
77,observed biotic relationship,observed biotic relationship,Is it free-living or in a host and if the latter what type of relationship is observed,"
                              ",optional,multiple,ERC000020.xml
78,air temperature regimen,air temperature regimen,"information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens","
                              ",optional,multiple,ERC000020.xml
79,antibiotic regimen,antibiotic regimen,"information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment duration, interval and total experimental duration; can include multiple antibiotic regimens","
                              ",optional,multiple,ERC000020.xml
80,chemical mutagen,chemical mutagen,"treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment duration, interval and total experimental duration; can include multiple mutagen regimens","
                              ",optional,multiple,ERC000020.xml
81,fertilizer regimen,fertilizer regimen,"information about treatment involving the use of fertilizers; should include the name fertilizer, amount administered, treatment duration, interval and total experimental duration; can include multiple fertilizer regimens","
                              ",optional,multiple,ERC000020.xml
82,fungicide regimen,fungicide regimen,"information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment duration, interval and total experimental duration; can include multiple fungicide regimens","
                              ",optional,multiple,ERC000020.xml
83,gravity,gravity,"information about treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity; can include multiple treatments","
                              ",optional,multiple,ERC000020.xml
84,growth hormone regimen,growth hormone regimen,"information about treatment involving use of growth hormones; should include the name of growth hormone, amount administered, treatment duration, interval and total experimental duration; can include multiple growth hormone regimens","
                              ",optional,multiple,ERC000020.xml
85,growth media,growth media,information about growth media for growing the plants or tissue cultured samples,"
                              ",optional,multiple,ERC000020.xml
86,herbicide regimen,herbicide regimen,"information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment duration, interval and total experimental duration; can include multiple regimens","
                              ",optional,multiple,ERC000020.xml
87,humidity regimen,humidity regimen,"information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment duration, interval and total experimental duration; can include multiple regimens","
                              ",optional,multiple,ERC000020.xml
88,mineral nutrient regimen,mineral nutrient regimen,"information about treatment involving the use of mineral supplements; should include the name of mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple mineral nutrient regimens","
                              ",optional,multiple,ERC000020.xml
89,non-mineral nutrient regimen,non-mineral nutrient regimen,"information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple non-mineral nutrient regimens","
                              ",optional,multiple,ERC000020.xml
90,pesticide regimen,pesticide regimen,"information about treatment involving use of insecticides; should include the name of pesticide, amount administered, treatment duration, interval and total experimental duration; can include multiple pesticide regimens","
                              ",optional,multiple,ERC000020.xml
91,pH regimen,pH regimen,information about treatment involving exposure of plants to varying levels of pH of the growth media; can include multiple regimen,"
                              ",optional,multiple,ERC000020.xml
92,radiation regimen,radiation regimen,"information about treatment involving exposure of plant or a plant part to a particular radiation regimen; should include the radiation type, amount or intensity administered, treatment duration, interval and total experimental duration; can include multiple radiation regimens","
                              ",optional,multiple,ERC000020.xml
93,rainfall regimen,rainfall regimen,information about treatment involving an exposure to a given amount of rainfall; can include multiple regimens,"
                              ",optional,multiple,ERC000020.xml
94,salt regimen,salt regimen,"information about treatment involving use of salts as supplement to liquid and soil growth media; should include the name of salt, amount administered, treatment duration, interval and total experimental duration; can include multiple salt regimens","
                              ",optional,multiple,ERC000020.xml
95,standing water regimen,standing water regimen,"treatment involving an exposure to standing water during a plant's life span, types can be flood water or standing water; can include multiple regimens","
                              ",optional,multiple,ERC000020.xml
96,tissue culture growth media,tissue culture growth media,description of plant tissue culture growth media used,"
                              ",optional,multiple,ERC000020.xml
97,watering regimen,watering regimen,information about treatment involving an exposure to watering frequencies; can include multiple regimens,"
                              ",optional,multiple,ERC000020.xml
98,water temperature regimen,water temperature regimen,information about treatment involving an exposure to water with varying degree of temperature; can include multiple regimens,"
                              ",optional,multiple,ERC000020.xml
99,mechanical damage,mechanical damage,information about any mechanical damage exerted on the plant; can include multiple damages and sites,"
                              ",optional,multiple,ERC000020.xml
100,chemical administration,chemical administration,"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v111), please see http://purl.bioontology.org/ontology/CHEBI","
                              ",optional,multiple,ERC000020.xml
101,perturbation,perturbation,"type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types","
                              ",optional,multiple,ERC000020.xml
